date,year,month,day,hour,cod_date
2023-11-05 04:00:00+00:00,2023,11,5,04:00:00,COD2023110504
2023-11-05 05:00:00+00:00,2023,11,5,05:00:00,COD2023110505
2023-11-05 06:00:00+00:00,2023,11,5,06:00:00,COD2023110506
2023-11-05 07:00:00+00:00,2023,11,5,07:00:00,COD2023110507
2023-11-05 08:00:00+00:00,2023,11,5,08:00:00,COD2023110508
2023-11-05 09:00:00+00:00,2023,11,5,09:00:00,COD2023110509
2023-11-05 10:00:00+00:00,2023,11,5,10:00:00,COD2023110510
2023-11-05 11:00:00+00:00,2023,11,5,11:00:00,COD2023110511
2023-11-05 12:00:00+00:00,2023,11,5,12:00:00,COD2023110512
2023-11-05 13:00:00+00:00,2023,11,5,13:00:00,COD2023110513
2023-11-05 14:00:00+00:00,2023,11,5,14:00:00,COD2023110514
2023-11-05 15:00:00+00:00,2023,11,5,15:00:00,COD2023110515
2023-11-05 16:00:00+00:00,2023,11,5,16:00:00,COD2023110516
2023-11-05 17:00:00+00:00,2023,11,5,17:00:00,COD2023110517
2023-11-05 18:00:00+00:00,2023,11,5,18:00:00,COD2023110518
2023-11-05 19:00:00+00:00,2023,11,5,19:00:00,COD2023110519
2023-11-05 20:00:00+00:00,2023,11,5,20:00:00,COD2023110520
2023-11-05 21:00:00+00:00,2023,11,5,21:00:00,COD2023110521
2023-11-05 22:00:00+00:00,2023,11,5,22:00:00,COD2023110522
2023-11-05 23:00:00+00:00,2023,11,5,23:00:00,COD2023110523
2023-11-06 00:00:00+00:00,2023,11,6,00:00:00,COD2023110600
2023-11-06 01:00:00+00:00,2023,11,6,01:00:00,COD2023110601
2023-11-06 02:00:00+00:00,2023,11,6,02:00:00,COD2023110602
2023-11-06 03:00:00+00:00,2023,11,6,03:00:00,COD2023110603
2023-11-06 04:00:00+00:00,2023,11,6,04:00:00,COD2023110604
2023-11-06 05:00:00+00:00,2023,11,6,05:00:00,COD2023110605
2023-11-06 06:00:00+00:00,2023,11,6,06:00:00,COD2023110606
2023-11-06 07:00:00+00:00,2023,11,6,07:00:00,COD2023110607
2023-11-06 08:00:00+00:00,2023,11,6,08:00:00,COD2023110608
2023-11-06 09:00:00+00:00,2023,11,6,09:00:00,COD2023110609
2023-11-06 10:00:00+00:00,2023,11,6,10:00:00,COD2023110610
2023-11-06 11:00:00+00:00,2023,11,6,11:00:00,COD2023110611
2023-11-06 12:00:00+00:00,2023,11,6,12:00:00,COD2023110612
2023-11-06 13:00:00+00:00,2023,11,6,13:00:00,COD2023110613
2023-11-06 14:00:00+00:00,2023,11,6,14:00:00,COD2023110614
2023-11-06 15:00:00+00:00,2023,11,6,15:00:00,COD2023110615
2023-11-06 16:00:00+00:00,2023,11,6,16:00:00,COD2023110616
2023-11-06 17:00:00+00:00,2023,11,6,17:00:00,COD2023110617
2023-11-06 18:00:00+00:00,2023,11,6,18:00:00,COD2023110618
2023-11-06 19:00:00+00:00,2023,11,6,19:00:00,COD2023110619
2023-11-06 20:00:00+00:00,2023,11,6,20:00:00,COD2023110620
2023-11-06 21:00:00+00:00,2023,11,6,21:00:00,COD2023110621
2023-11-06 22:00:00+00:00,2023,11,6,22:00:00,COD2023110622
2023-11-06 23:00:00+00:00,2023,11,6,23:00:00,COD2023110623
2023-11-07 00:00:00+00:00,2023,11,7,00:00:00,COD2023110700
2023-11-07 01:00:00+00:00,2023,11,7,01:00:00,COD2023110701
2023-11-07 02:00:00+00:00,2023,11,7,02:00:00,COD2023110702
2023-11-07 03:00:00+00:00,2023,11,7,03:00:00,COD2023110703
2023-11-07 04:00:00+00:00,2023,11,7,04:00:00,COD2023110704
2023-11-07 05:00:00+00:00,2023,11,7,05:00:00,COD2023110705
2023-11-07 06:00:00+00:00,2023,11,7,06:00:00,COD2023110706
2023-11-07 07:00:00+00:00,2023,11,7,07:00:00,COD2023110707
2023-11-07 08:00:00+00:00,2023,11,7,08:00:00,COD2023110708
2023-11-07 09:00:00+00:00,2023,11,7,09:00:00,COD2023110709
2023-11-07 10:00:00+00:00,2023,11,7,10:00:00,COD2023110710
