fuel,perc,cod_date,regionid
biomass,1.2,COD2023110504,1.0
coal,0.0,COD2023110504,1.0
imports,6.7,COD2023110504,1.0
gas,3.0,COD2023110504,1.0
nuclear,31.3,COD2023110504,1.0
other,0.0,COD2023110504,1.0
hydro,29.5,COD2023110504,1.0
solar,0.0,COD2023110504,1.0
wind,28.3,COD2023110504,1.0
biomass,1.1,COD2023110505,1.0
coal,0.0,COD2023110505,1.0
imports,6.7,COD2023110505,1.0
gas,2.6,COD2023110505,1.0
nuclear,28.9,COD2023110505,1.0
other,0.0,COD2023110505,1.0
hydro,30.3,COD2023110505,1.0
solar,0.0,COD2023110505,1.0
wind,30.5,COD2023110505,1.0
biomass,1.0,COD2023110506,1.0
coal,0.0,COD2023110506,1.0
imports,6.5,COD2023110506,1.0
gas,2.6,COD2023110506,1.0
nuclear,30.2,COD2023110506,1.0
other,0.0,COD2023110506,1.0
hydro,28.5,COD2023110506,1.0
solar,0.0,COD2023110506,1.0
wind,31.3,COD2023110506,1.0
biomass,1.2,COD2023110507,1.0
coal,0.0,COD2023110507,1.0
imports,7.8,COD2023110507,1.0
gas,3.4,COD2023110507,1.0
nuclear,30.5,COD2023110507,1.0
other,0.0,COD2023110507,1.0
hydro,27.7,COD2023110507,1.0
solar,0.0,COD2023110507,1.0
wind,29.4,COD2023110507,1.0
biomass,1.0,COD2023110508,1.0
coal,0.1,COD2023110508,1.0
imports,7.6,COD2023110508,1.0
gas,3.4,COD2023110508,1.0
nuclear,28.6,COD2023110508,1.0
other,0.0,COD2023110508,1.0
hydro,32.9,COD2023110508,1.0
solar,0.3,COD2023110508,1.0
wind,25.9,COD2023110508,1.0
biomass,1.1,COD2023110509,1.0
coal,0.2,COD2023110509,1.0
imports,7.9,COD2023110509,1.0
gas,4.1,COD2023110509,1.0
nuclear,27.0,COD2023110509,1.0
other,0.0,COD2023110509,1.0
hydro,33.4,COD2023110509,1.0
solar,1.5,COD2023110509,1.0
