from,to,intensity.forecast,intensity.actual,intensity.index
2023-09-06T15:30Z,2023-09-06T16:00Z,208,236,high
2023-09-06T16:00Z,2023-09-06T16:30Z,215,240,high
2023-09-06T16:30Z,2023-09-06T17:00Z,240,249,high
2023-09-06T17:00Z,2023-09-06T17:30Z,247,255,high
2023-09-06T17:30Z,2023-09-06T18:00Z,255,264,high
2023-09-06T18:00Z,2023-09-06T18:30Z,259,270,high
2023-09-06T18:30Z,2023-09-06T19:00Z,261,270,high
2023-09-06T19:00Z,2023-09-06T19:30Z,268,267,high
2023-09-06T19:30Z,2023-09-06T20:00Z,270,276,high
2023-09-06T20:00Z,2023-09-06T20:30Z,270,269,high
2023-09-06T20:30Z,2023-09-06T21:00Z,276,264,high
2023-09-06T21:00Z,2023-09-06T21:30Z,269,256,high
2023-09-06T21:30Z,2023-09-06T22:00Z,262,240,high
2023-09-06T22:00Z,2023-09-06T22:30Z,253,231,high
2023-09-06T22:30Z,2023-09-06T23:00Z,240,231,high
2023-09-06T23:00Z,2023-09-06T23:30Z,231,234,high
2023-09-06T23:30Z,2023-09-07T00:00Z,233,239,high
2023-09-07T00:00Z,2023-09-07T00:30Z,235,241,high
2023-09-07T00:30Z,2023-09-07T01:00Z,238,242,high
2023-09-07T01:00Z,2023-09-07T01:30Z,241,241,high
2023-09-07T01:30Z,2023-09-07T02:00Z,241,238,high
2023-09-07T02:00Z,2023-09-07T02:30Z,240,238,high
2023-09-07T02:30Z,2023-09-07T03:00Z,237,240,high
2023-09-07T03:00Z,2023-09-07T03:30Z,238,241,high
2023-09-07T03:30Z,2023-09-07T04:00Z,240,249,high
2023-09-07T04:00Z,2023-09-07T04:30Z,243,256,high
2023-09-07T04:30Z,2023-09-07T05:00Z,247,247,high
2023-09-07T05:00Z,2023-09-07T05:30Z,256,248,high
2023-09-07T05:30Z,2023-09-07T06:00Z,252,240,high
2023-09-07T06:00Z,2023-09-07T06:30Z,243,239,high
2023-09-07T06:30Z,2023-09-07T07:00Z,238,242,high
2023-09-07T07:00Z,2023-09-07T07:30Z,263,236,high
2023-09-07T07:30Z,2023-09-07T08:00Z,240,230,high
2023-09-07T08:00Z,2023-09-07T08:30Z,239,224,high
2023-09-07T08:30Z,2023-09-07T09:00Z,230,214,high
2023-09-07T09:00Z,2023-09-07T09:30Z,224,201,high
2023-09-07T09:30Z,2023-09-07T10:00Z,211,189,moderate
2023-09-07T10:00Z,2023-09-07T10:30Z,203,184,moderate
2023-09-07T10:30Z,2023-09-07T11:00Z,192,176,moderate
2023-09-07T11:00Z,2023-09-07T11:30Z,185,175,moderate
2023-09-07T11:30Z,2023-09-07T12:00Z,180,174,moderate
2023-09-07T12:00Z,2023-09-07T12:30Z,180,173,moderate
2023-09-07T12:30Z,2023-09-07T13:00Z,181,173,moderate
2023-09-07T13:00Z,2023-09-07T13:30Z,181,174,moderate
2023-09-07T13:30Z,2023-09-07T14:00Z,182,191,moderate
2023-09-07T14:00Z,2023-09-07T14:30Z,184,205,high
2023-09-07T14:30Z,2023-09-07T15:00Z,196,216,high
2023-09-07T15:00Z,2023-09-07T15:30Z,211,226,high
2023-09-07T15:30Z,2023-09-07T16:00Z,224,228,high
2023-09-07T16:00Z,2023-09-07T16:30Z,233,235,high
2023-09-07T16:30Z,2023-09-07T17:00Z,238,239,high
2023-09-07T17:00Z,2023-09-07T17:30Z,243,240,high
2023-09-07T17:30Z,2023-09-07T18:00Z,246,244,high
2023-09-07T18:00Z,2023-09-07T18:30Z,247,251,high
