region_id,dnoregion,shortname,generationmix,cod_date,intensity.forecast,intensity.index
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.2}, {'fuel': 'coal', 'perc': 0}, {'fuel': 'imports', 'perc': 6.7}, {'fuel': 'gas', 'perc': 3}, {'fuel': 'nuclear', 'perc': 31.3}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 29.5}, {'fuel': 'solar', 'perc': 0}, {'fuel': 'wind', 'perc': 28.3}, {'cod_date': 'COD2023110504', 'regionid': 1}]",COD2023110504,13,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.1}, {'fuel': 'coal', 'perc': 0}, {'fuel': 'imports', 'perc': 6.7}, {'fuel': 'gas', 'perc': 2.6}, {'fuel': 'nuclear', 'perc': 28.9}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 30.3}, {'fuel': 'solar', 'perc': 0}, {'fuel': 'wind', 'perc': 30.5}, {'cod_date': 'COD2023110505', 'regionid': 1}]",COD2023110505,12,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1}, {'fuel': 'coal', 'perc': 0}, {'fuel': 'imports', 'perc': 6.5}, {'fuel': 'gas', 'perc': 2.6}, {'fuel': 'nuclear', 'perc': 30.2}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 28.5}, {'fuel': 'solar', 'perc': 0}, {'fuel': 'wind', 'perc': 31.3}, {'cod_date': 'COD2023110506', 'regionid': 1}]",COD2023110506,11,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.2}, {'fuel': 'coal', 'perc': 0}, {'fuel': 'imports', 'perc': 7.8}, {'fuel': 'gas', 'perc': 3.4}, {'fuel': 'nuclear', 'perc': 30.5}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 27.7}, {'fuel': 'solar', 'perc': 0}, {'fuel': 'wind', 'perc': 29.4}, {'cod_date': 'COD2023110507', 'regionid': 1}]",COD2023110507,15,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1}, {'fuel': 'coal', 'perc': 0.1}, {'fuel': 'imports', 'perc': 7.6}, {'fuel': 'gas', 'perc': 3.4}, {'fuel': 'nuclear', 'perc': 28.6}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 32.9}, {'fuel': 'solar', 'perc': 0.3}, {'fuel': 'wind', 'perc': 25.9}, {'cod_date': 'COD2023110508', 'regionid': 1}]",COD2023110508,16,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.1}, {'fuel': 'coal', 'perc': 0.2}, {'fuel': 'imports', 'perc': 7.9}, {'fuel': 'gas', 'perc': 4.1}, {'fuel': 'nuclear', 'perc': 27}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 33.4}, {'fuel': 'solar', 'perc': 1.5}, {'fuel': 'wind', 'perc': 24.9}, {'cod_date': 'COD2023110509', 'regionid': 1}]",COD2023110509,20,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.2}, {'fuel': 'coal', 'perc': 0.2}, {'fuel': 'imports', 'perc': 7.5}, {'fuel': 'gas', 'perc': 4}, {'fuel': 'nuclear', 'perc': 25.2}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 33.6}, {'fuel': 'solar', 'perc': 2.8}, {'fuel': 'wind', 'perc': 25.4}, {'cod_date': 'COD2023110510', 'regionid': 1}]",COD2023110510,20,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.2}, {'fuel': 'coal', 'perc': 0.2}, {'fuel': 'imports', 'perc': 7.2}, {'fuel': 'gas', 'perc': 3.8}, {'fuel': 'nuclear', 'perc': 24.9}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 32.7}, {'fuel': 'solar', 'perc': 3.8}, {'fuel': 'wind', 'perc': 26.2}, {'cod_date': 'COD2023110511', 'regionid': 1}]",COD2023110511,19,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.2}, {'fuel': 'coal', 'perc': 0.2}, {'fuel': 'imports', 'perc': 6.9}, {'fuel': 'gas', 'perc': 4.1}, {'fuel': 'nuclear', 'perc': 24.5}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 33.6}, {'fuel': 'solar', 'perc': 3.4}, {'fuel': 'wind', 'perc': 26.2}, {'cod_date': 'COD2023110512', 'regionid': 1}]",COD2023110512,20,very low
1,Scottish Hydro Electric Power Distribution,North Scotland,"[{'fuel': 'biomass', 'perc': 1.2}, {'fuel': 'coal', 'perc': 0.2}, {'fuel': 'imports', 'perc': 6.3}, {'fuel': 'gas', 'perc': 4}, {'fuel': 'nuclear', 'perc': 23.3}, {'fuel': 'other', 'perc': 0}, {'fuel': 'hydro', 'perc': 39.6}, {'fuel': 'solar', 'perc': 2.3}, {'fuel': 'wind', 'perc': 23.1}, {'cod_date': 'COD2023110513', 'regionid': 1}]",COD2023110513,19,very low
